Meldungen	Saison	Erkrankung	Altersgruppe	Region	Kalenderwoche	Inzidenz
75	2010/11	ARE	60+	Bundesweit	2011-W29	5638
200	2010/11	ARE	00+	Sueden	2011-W29	7680
356	2010/11	ARE	00+	Mitte (West)	2011-W29	4768
137	2010/11	ARE	00+	Norden (West)	2011-W29	3216
308	2010/11	ARE	00+	Osten	2011-W29	6721
805	2010/11	ARE	15+	Bundesweit	2011-W29	5291
1001	2010/11	ARE	00+	Bundesweit	2011-W29	5759
196	2010/11	ARE	0-14	Bundesweit	2011-W29	8873
62	2010/11	ILI	0-4	Bundesweit	2011-W29	0
134	2010/11	ILI	5-14	Bundesweit	2011-W29	3281
202	2010/11	ILI	15-34	Bundesweit	2011-W29	622
528	2010/11	ILI	35-59	Bundesweit	2011-W29	787
75	2010/11	ILI	60+	Bundesweit	2011-W29	3062
200	2010/11	ILI	00+	Sueden	2011-W29	1450
356	2010/11	ILI	00+	Mitte (West)	2011-W29	737
137	2010/11	ILI	00+	Norden (West)	2011-W29	0
308	2010/11	ILI	00+	Osten	2011-W29	2984
805	2010/11	ILI	15+	Bundesweit	2011-W29	1378
1001	2010/11	ILI	00+	Bundesweit	2011-W29	1497
196	2010/11	ILI	0-14	Bundesweit	2011-W29	2287
60	2010/11	ARE	0-4	Bundesweit	2011-W30	7257
143	2010/11	ARE	5-14	Bundesweit	2011-W30	4578
201	2010/11	ARE	15-34	Bundesweit	2011-W30	5859
550	2010/11	ARE	35-59	Bundesweit	2011-W30	3970
75	2010/11	ARE	60+	Bundesweit	2011-W30	418
202	2010/11	ARE	00+	Sueden	2011-W30	6070
359	2010/11	ARE	00+	Mitte (West)	2011-W30	3109
140	2010/11	ARE	00+	Norden (West)	2011-W30	5447
328	2010/11	ARE	00+	Osten	2011-W30	2373
826	2010/11	ARE	15+	Bundesweit	2011-W30	3500
1029	2010/11	ARE	00+	Bundesweit	2011-W30	3750
203	2010/11	ARE	0-14	Bundesweit	2011-W30	5398
60	2010/11	ILI	0-4	Bundesweit	2011-W30	1020
143	2010/11	ILI	5-14	Bundesweit	2011-W30	1987
201	2010/11	ILI	15-34	Bundesweit	2011-W30	648
550	2010/11	ILI	35-59	Bundesweit	2011-W30	640
75	2010/11	ILI	60+	Bundesweit	2011-W30	418
202	2010/11	ILI	00+	Sueden	2011-W30	1470
359	2010/11	ILI	00+	Mitte (West)	2011-W30	405
140	2010/11	ILI	00+	Norden (West)	2011-W30	763
328	2010/11	ILI	00+	Osten	2011-W30	621
826	2010/11	ILI	15+	Bundesweit	2011-W30	581
1029	2010/11	ILI	00+	Bundesweit	2011-W30	727
